id,name,author,serial_number
4144,Follow You Home,Mark  Edwards,
4145,"Love, Stargirl",Jerry Spinelli,375913750
4146,Nefertiti,Michelle Moran,307381463
4147,‎You Are Not So Smart‎,David McRaney,1592406599
4148,Into the Wilderness,Sara Donati,553578529
4149,Ὀρέστεια,"Aeschylus, Robert Fagles, William Bedell Stanford",140443339
4150,How the Light Gets In,Louise Penny,312655479
4151,Don't Waste Your Life,John Piper,1581344988
4152,La catedral del mar,Ildefonso Falcones,307376656
4153,The Life of Elizabeth I,Alison Weir,345425502
4154,"The Book of Mormon, Doctrine and Covenants, the Pearl of Great Price",The Church of Jesus Christ of Latter-day Saints,1592975038
4155,Earth: A Visitor's Guide to the Human Race ,"Jon Stewart, Rory Albanese, Kevin Bleyer, Rich Bloomquist, Steve Bodow, Tim Carvell, Wyatt Cenac, Hallie Haglund, J.R. Havlan, David Javerbaum, Elliott Kalan, Josh Lieb, Sam Means, Jo Miller, John Oliver, Daniel Radosh, Jason Ross",044657922X
4156,My Soul to Take,Rachel Vincent,373210035
4157,Conversations With God. An Uncommon Dialogue. Book 2,Neale Donald Walsch,1571740562
4158,Everneath,Brodi Ashton,62071130
4159,Plum Spooky,Janet Evanovich,739328271
4160,Manual do guerreiro da luz,Paulo Coelho,60527986
4161,James Potter and the Hall of Elders' Crossing ,G. Norman Lippert,
4162,Where Men Win Glory: The Odyssey of Pat Tillman,Jon Krakauer,385522266
4163,God's Smuggler,"Brother Andrew, Elizabeth Sherrill, John Sherrill",800793013
4164,Maine,J. Courtney Sullivan,307595129
4165,Fill-in boyfrined,Kasie West,006233638X
4166,How I Live Now,Meg Rosoff,553376055
4167,Mister Monday,Garth Nix,439856264
4168,These things hidden,Heather Gudenkauf,778328791
4169,Fix-It and Forget-It Cookbook: Feasting with Your Slow Cooker,"Dawn J. Ranck, Phyllis Pellman Good",1561483397
4170,Strange Angels,"Lili St. Crow, Lilith Saintcrow",1595142517
4171,La Prisonnière,"Malika Oufkir, Michèle Fitoussi",786886307
4172,Black Hills,Nora Roberts,399155813
4173,Civil War: A Marvel Comics Event,"Mark Millar, Steve McNiven, Dexter Vines, Morry Hollowell",078512179X
4174,The Vow: The Kim and Krickitt Carpenter Story,"Kim Carpenter, John R. Perry, Krickitt Carpenter",805421300
4175,The Puppet Masters,Robert A. Heinlein,143913376X
4176,All the Missing Girls,Megan Miranda,
4177,Just Go to Bed,Mercer Mayer,307119408
4178,,Maria Semple,316403431
4179,xxxHOLiC #1,"CLAMP, William Flanagan",345470583
4180,Miss Nelson Is Back,"Harry Allard, James  Marshall",039541668X
4181,Green Mars,Kim Stanley Robinson,553572393
4182,"To Green Angel Tower (Memory, Sorrow, and Thorn, #3)",Tad Williams,756402980
4183,The Canterville Ghost,"Oscar Wilde, Inga Moore",744549515
4184,Seconds: A Graphic Novel,"Bryan Lee O'Malley, Nathan Fairbairn",345529375
4185,Fallen Crest High,Tijan,
4186,Művészeti Anatómia,Jenő Barcsay,1402735421
4187,Suffer the Children,John Saul,044018293X
4188,"Catherine, Called Birdy",Karen Cushman,60739428
4189,Princess: A True Story of Life Behind the Veil in Saudi Arabia ,Jean Sasson,967673747
4190,Magic Kingdom for Sale—Sold!,Terry Brooks,1857232569
4191,The Power of Your Subconscious Mind,"Joseph Murphy, Ian McMahan",553583182
4192,Blood and Gold: The Vampire Marius,Anne Rice,99271494
4193,The Crown of Embers,Rae Carson,62026518
4194,Page ,Tamora Pierce,
4195,The Guard,Kiera Cass,62317148
4196,Johnny Tremain,"Esther Forbes, Lynd Ward",440442508
4197,Diarios de motocicleta: notas de viaje por América Latina,"Ernesto Che Guevara, Aleida Guevara March",1876175702
4198,,Kristen Proby,
4199,Black 1. The Birth of Evil,Ted Dekker,1595540210
4200,The Hundred Thousand Kingdoms,N.K. Jemisin,316043915
4201,Officer Buckle & Gloria (Hardcover),Peggy Rathmann,399226168
4202,Los detectives salvajes,"Roberto Bolaño, Natasha Wimmer",374191484
4203,Alice in Zombieland,Gena Showalter,373210582
4204,Spells,Aprilynne Pike,61668060
4205,Schachnovelle,"Stefan Zweig, Joel Rotenberg, Hans Hausmann, Dirk Muller, Peter Gay, Willy Trenk-Trebitsch, Mario Adorf, Gert Westphal",1590171691
4206,The Lion King (Little Golden Book),"Justine Korman Fontes, Don Williams, Walt Disney Company",736420959
4207,The Medusa Plot,Gordon Korman,545324092
4208,"The Penderwicks: A Summer Tale of Four Sisters, Two Rabbits, and a Very Interesting Boy",Jeanne Birdsall,
4209,The Lion,Nelson DeMille,044658083X
4210,Kiss of the Highlander,Karen Marie Moning,044023655X
4211,Elizabeth The Queen: The Life Of A Modern Monarch,Sally Bedell Smith,1400067898
4212,Sønnen,"Jo Nesbø, Charlotte Barslund",385351372
4213,Taster's Choice,"John Layman, Rob Guillory",1607061597
4214,A Single Shard,Linda Sue Park,440418518
4215,Time of the Twins,"Margaret Weis, Tracy Hickman",786931582
4216,Sacré Bleu: A Comedy d'Art,Christopher Moore,61779741
4217,Пикник на обочине,"Arkady Strugatsky, Boris Strugatsky, Antonina W. Bouis, Antonina W. Bouis, Theodore Sturgeon",575070536
4218,Queen of Babble Gets Hitched,Meg Cabot,006085202X
4219,Cranford,Elizabeth Gaskell,141439882
4220,Underworld,Don DeLillo,330369954
4221,Big Sur,"Jack Kerouac, Aram Saroyan",140168125
4222,My Man Jeeves,P.G. Wodehouse,1585678759
4223,Radiant Shadows,Melissa Marr,61659223
4224,Motorcycle Man,Kristen Ashley,
4225,"The Art of Asking; or, How I Learned to Stop Worrying and Let People Help",Amanda Palmer,1455581089
4226,Into the Still Blue,Veronica Rossi,62072099
4227,The Last Summer (of You and Me),Ann Brashares,1594489173
4228,Preacher Vol. 2: Until the End of the World,"Garth Ennis, Steve Dillon",1563893126
4229,The Lord of the Rings: Weapons and Warfare,"Chris   Smith, Christopher Lee, Richard Taylor",618391002
4230,The Lost City of Faar,D.J. MacHale,743437322
4231,A Great Deliverance,Elizabeth  George,553278029
4232,El club Dumas,"Arturo Pérez-Reverte, Sonia Soto",
4233,Enna Burning,Shannon Hale,1582349061
4234,Twilight,Meg Cabot,60724692
4235,1919,أحمد مراد,
4236,Dear Mr. Henshaw,"Beverly Cleary, Paul O. Zelinsky",380709589
4237,,Ann Patchett,1857028155
4238,Generation X: Tales for an Accelerated Culture,Douglas Coupland,349108390
4239,The Sympathizer,Viet Thanh Nguyen,802123457
4240,Evil Under the Sun,Agatha Christie,1579126286
4241,Reaper's Property,Joanna Wylde,
4242,"My Friend Flicka (Flicka, #1)","Mary O'Hara, Dave Blossom",60512628
4243,The Kingmaker's Daughter,"Philippa Gregory, Mirjana Valent",145162607X
4244,Hedda Gabler,"Henrik Ibsen, William Archer",1847024696
4245,Dumbo (Little Golden Book),Walt Disney Company,736423095
4246,The Invasion of the Tearling,Erika Johansen,62290398
4247,Gjenferd,"Jo Nesbø, Don Bartlett",307960471
4248,,"P.C. Cast, Kristin Cast",312530641
4249,A Place Called Here,Cecelia Ahern,7198914
4250,The Painted Veil,W. Somerset Maugham,307277771
4251,Blackwood Farm,Anne Rice,99446723
4252,Anatomy of the Spirit: The Seven Stages of Power and Healing,Caroline Myss,609800140
4253,The Kalahari Typing School for Men,Alexander McCall Smith,349117047
4254,A Hundred Summers,Beatriz Williams,039916216X
4255,A Torch Against the Night,Sabaa Tahir,
4256,The Wednesday Wars,Gary D. Schmidt,618724834
4257,The Legacy,R.A. Salvatore,786939842
4258,Skippyjon Jones,Judy Schachner,525471340
4259,Chasing Fire,Nora Roberts,399157441
4260,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,1576754227
4261,"Moo, Baa, La La La!",Sandra Boynton,689861133
4262,The Science of Getting Rich,Wallace D. Wattles,1585426016
4263,The Last Oracle,James Rollins,61230944
4264,ذاكرة الجسد,"أحلام مستغانمي, Ahlam Mosteghanemi",
4265,Vinegar Hill (P.S.),A. Manette Ansay,60897848
4266,Startide Rising,David Brin,055327418X
4267,Significance,Shelly Crane,1481200577
4268,Pompeii,Robert   Harris,812974611
4269,The Guilty,David Baldacci,1455536253
4270,A History of Western Philosophy And Its Connection with Political and Social Circumstances from the Earliest Times to the Present Day,Bertrand Russell,671201581
4271,Complete Works of Lewis Carroll,Lewis Carroll,517220776
4272,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,Nigella Lawson,786886811
4273,Le Morte d'Arthur,"Thomas Malory, Keith Baines, Robert Graves",451528166
4274,A Piece of Cake: A Memoir,Cupcake Brown,1400052297
4275,Taran Wanderer,Lloyd Alexander,805080511
4276,Brimstone,"Douglas Preston, Lincoln Child",446612758
4277,Rebecca of Sunnybrook Farm,Kate Douglas Wiggin,1598183605
4278,Devil in Winter ,Lisa Kleypas,006056251X
4279,The Dead and the Gone,Susan Beth Pfeffer,152063110
4280,White,Ted Dekker,1595540350
4281,"The Darkest Passion (Lords of the Underworld, #5)",Gena Showalter,778303764
4282,Pygmy,Chuck Palahniuk,385526342
4283,Revenge Wears Prada: The Devil Returns,Lauren Weisberger,1439136637
4284,Рассказы и Повести,"Anton Chekhov, Richard Pevear, Larissa Volokhonsky",553381008
4285,"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S.C. Gwynne,1416591052
4286,Smiley's People,John le Carré,743455800
4287,Redemption,"Karen Kingsbury, Gary Smalley",842356223
4288,A Northern Light,Jennifer Donnelly,152053107
4289,Apollyon: The Destroyer Is Unleashed,"Tim LaHaye, Jerry B. Jenkins",786229071
4290,Whose Body?,Dorothy L. Sayers,61043575
4291,,"Robert Sabuda, Lewis Carroll",689847432
4292,Michelangelo and the Pope's Ceiling,Ross King,142003697
4293,Stolen,Kelley Armstrong,452285933
4294,Hour Game,David Baldacci,446616494
4295,The Cruelest Month,Louise Penny,755328949
4296,Ballet Shoes,"Noel Streatfeild, Diane Goode",679847596
4297,"The Chronicles of Narnia: The Lion, the Witch and The Wardrobe (Sheet Music)",Harry Gregson-Williams,1423409450
4298,We the Living,"Ayn Rand, Leonard Peikoff",451187849
4299,The Winner's Crime,Marie Rutkoski,374384711
4300,,Carolyn Brown,
4301,100 Selected Poems by e. e. Cummings,E.E. Cummings,802130720
4302,"Such a Pretty Fat: One Narcissist's Quest to Discover if Her Life Makes Her Ass Look Big, or Why Pie is Not the Answer",Jen Lancaster,451223896
4303,Forest of Secrets,Erin Hunter,60525614
4304,The Little Stranger,Sarah Waters,1594488800
4305,Night Broken,Patricia Briggs,042525674X
4306,Snow Like Ashes,Sara Raasch,62286927
4307,We Are Not Ourselves,Matthew  Thomas,147675666X
4308,Red Lily,Nora Roberts,515139408
4309,Reviving Ophelia: Saving the Selves of Adolescent Girls,Mary Pipher,1594481881
4310,The Lords of the North,Bernard Cornwell,60888628
4311,Just Ella,Margaret Peterson Haddix,1416936491
4312,Eyes wide open,Raine Miller,
4313,China Dolls,Lisa See,081299289X
4314,Megan Meade's Guide to the McGowan Boys,Kate Brian,1416900314
4315,Bread and Jam for Frances,"Russell Hoban, Lillian Hoban",64430960
4316,Half Asleep in Frog Pajamas,Tom Robbins,184243036X
4317,Mirror Mirror,Gregory Maguire,60988657
4318,More Than This,Patrick Ness,1406350486
4319,Child of God,Cormac McCarthy,679728740
4320,"As Sure as the Dawn (Mark of the Lion, #3)",Francine Rivers,842339760
4321,Lexicon,Max Barry,1594205388
4322,One Fifth Avenue,"Candace Bushnell, Donna Murphy",1400139027
4323,El Deafo,"Cece Bell, David Lasky",1419710206
4324,Down London Road,Samantha Young,451419715
4325,"The Walking Dead, Vol. 3: Safety Behind Bars","Robert Kirkman, Charlie Adlard",1582404879
4326,"Flow My Tears, the Policeman Said",Philip K. Dick,1857983416
4327,The Last Sin Eater,Francine Rivers,1414315716
4328,A Knight in Shining Armor,Jude Deveraux,743457269
4329,Rot & Ruin,Jonathan Maberry,1442402326
4330,,"Plato, G.M.A. Grube, John M. Cooper",872205541
4331,Heavier Than Heaven: A Biography of Kurt Cobain,Charles R. Cross,786865059
4332,Ἱστορίαι,"Thucydides, Rex Warner, Moses I. Finley",140440399
4333,The Red Badge of Courage,"Stephen Crane, George Stade, Richard Fusco",1593081197
4334,Sandman Slim,Richard Kadrey,61714305
4335,The Last Child,John Hart,312359322
4336,Labyrinths,"Jorge Luis Borges, Donald A. Yates, James E. Irby, André Maurois",811200124
4337,Fortune's Rocks,Anita Shreve,316734837
4338,The Price of Salt,Patricia Highsmith,393325997
4339,Tiger's Quest,Colleen Houck,140278404X
4340,Friday Night Bites: A Chicagoland Vampires Novel ,Chloe Neill,045122793X
4341,"The Undercover Economist: Exposing Why the Rich Are Rich, the Poor Are Poor--and Why You Can Never Buy a Decent Used Car!",Tim Harford,195189779
4342,The Oath,Frank E. Peretti,1595541896
4343,Rumors,Anna Godbersen,61345695
4344,The Day the Crayons Quit,"Drew Daywalt, Oliver Jeffers",399255370
4345,"Princess in Waiting (The Princess Diaries, #4)",Meg Cabot,60096098
4346,,"Katie J. Davis, Beth Clark",1451612060
4347,The Heretic's Daughter,Kathleen Kent,316037532
4348,Der Zauberberg,"Thomas Mann, John E. Woods",679772871
4349,Chasing the Dime,Michael Connelly,044661162X
4350,A Thousand Pieces of You,Claudia Gray,62278967
4351,Pictures of Hollis Woods,Patricia Reilly Giff,439692393
4352,The Reality Dysfunction,Peter F. Hamilton,330340328
4353,The Sands of Time,Sidney Sheldon,6174434
4354, NW ,Zadie Smith,241144140
4355,The Chronicles of Vladimir Tod: Eighth Grade Bites,Heather Brewer,525478116
4356,The Paradox of Choice: Why More Is Less,Barry Schwartz,60005696
4357,Blood and Chocolate,Annette Curtis Klause,440226686
4358,Nine Dragons,Michael Connelly,316166316
4359,Women in Love,D.H. Lawrence,486424588
4360,Second Chance,Jane Green,670038571
4361,The Postman,David Brin,553278746
4362,Summerland,Elin Hilderbrand,
4363,The Patron Saint of Liars,Ann Patchett,1841150509
4364,The Success Principles,"Jack Canfield, Janet Switzer",60594896
4365,Knight,Kristen Ashley,
4366,Business Model Generation,"Alexander Osterwalder, Yves Pigneur",2839906171
4367,The Swerve: How the World Became Modern,Stephen Greenblatt,393064476
4368,"The Autobiography of Henry VIII. With Notes by His Fool, Will Somers",Margaret George,312194390
4369,Stranger Than Fiction: True Stories,Chuck Palahniuk,385722222
4370,The Brain That Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,Norman Doidge,067003830X
4371,The Ringworld Engineers ,Larry Niven,345418417
4372,I Hunt Killers,Barry Lyga,316125849
4373,Crashed,K. Bromberg,
4374,Kitchens of the Great Midwest,J. Ryan Stradal,052542914X
4375,Stone Soup,"Ann McGovern, Winslow Pinney Pels, Winslow Pinn, Ey Pels",590416022
4376,شيكاجو,"Alaa Al Aswany, علاء الأسواني",9770919403
4377,12th of Never,"James Patterson, Maxine Paetro",
4378,Promise of Blood,Brian  McClellan,316219037
4379,Black Order,James Rollins,752876457
4380,Fractured,Karin Slaughter,385341954
4381,The Sun Is Also a Star,Nicola Yoon,553496689
4382,The Murder House,"James Patterson, David Ellis",316410985
4383,On the Beach,Nevil Shute,1842322761
4384,Funny Girl,Nick Hornby,1594205418
4385,New York,Edward Rutherfurd,385521383
4386,A Gathering of Shadows,"V.E. Schwab, Victoria Schwab",765376474
4387,From the Corner of His Eye,Dean Koontz,553582747
4388," めくらやなぎと、眠る女 [Mekurayanagi to, nemuru onna]","Haruki Murakami, Philip Gabriel, Jay Rubin",1400044618
4389,Barefoot Contessa Back to Basics,"Ina Garten, Quentin Bacon",1400054354
4390,To Have and to Hold ,Jane Green,767912276
4391,Smashed: Story of a Drunken Girlhood,Koren Zailckas,143036475
4392,Until I Find You,John Irving,345479726
4393,The Dark Divine,Bree Despain,1606840576
4394,Heat,Bill Buford,1400041201
4395,Women Who Run With the Wolves,Clarissa Pinkola Estés,345409876
4396,,"Patricia C. Wrede, Peter de Sève",152046925
4397,"Now, Discover Your Strengths","Marcus Buckingham, Donald O. Clifton",743201140
4398,The Long Tail: Why the Future of Business Is Selling Less of More,Chris Anderson,1401309666
4399,Mein Kampf,Adolf Hitler,395083621
4400,Swapping Lives,Jane Green,670034800
4401,"A Rule Against Murder (Armand Gamache, #4)",Louise Penny,312377029
4402,The Perfect Hope,Nora Roberts,1455807044
4403,Consequences,Aleatha Romig,1465341889
4404,The 7 Habits Of Highly Effective Teens,Sean Covey,684856093
4405,The Strange Case of Origami Yoda,Tom Angleberger,810984253
4406,Welcome to Temptation,Jennifer Crusie,312932804
4407,Inside Out & Back Again,Thanhha Lai,61962783
4408,Dreamless,Josephine Angelini,62012010
4409,Predestined,Abbi Glines,
4410,,Jude Fisher,618390979
4411,"The Art of the Start: The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything",Guy Kawasaki,1591840562
4412,"The Other Wes Moore: One Name, Two Fates","Wes  Moore, Tavis Smiley",385528191
4413,Mistress of the Art of Death,Ariana Franklin,399154140
4414,Assholes Finish First,Tucker Max,1416938745
4415,美少女戦士セーラームーン,"Naoko Takeuchi, 武内 直子",4063347761
4416,Kiss an Angel ,Susan Elizabeth Phillips,380782332
4417,The Upside of Irrationality: The Unexpected Benefits of Defying Logic at Work and at Home,Dan Ariely,61995037
4418,The Partly Cloudy Patriot,"Sarah Vowell, Katherine Streeter",743243803
4419,My Father's Dragon (My Father's Dragon Trilogy),Ruth Stiles Gannett,440421217
4420,Natchez Burning,Greg Iles,62311077
4421,Pulp,Charles Bukowski,876859260
4422,Hannibal Rising,Thomas Harris,385339410
4423,Immortal in Death ,J.D. Robb,749934085
4424,inf,Sherrilyn Kenyon,312599072
4425,"Blood Noir (Anita Blake, Vampire Hunter, #16)",Laurell K. Hamilton,425222195
4426,Inherent Vice,Thomas Pynchon,1594202249
4427,Songs of the Humpback Whale: A Novel in Five Voices,Jodi Picoult,743431014
4428,The Night Eternal,"Guillermo del Toro, Chuck Hogan",61558265
4429,"Bright Lights, Big City",Jay McInerney,394726413
4430,Whiskey Beach,Nora Roberts,399159894
4431,The Guy Not Taken: Stories,Jennifer Weiner,1416535209
4432,"The Walking Dead, Vol. 8: Made To Suffer",Robert Kirkman,1582408831
4433,Pleasure of a Dark Prince ,Kresley Cole,1416580956
4434,Danny and the Dinosaur,Syd Hoff,64440028
4435,Il decamerone,"Giovanni Boccaccio, G.H. McWilliam",140449302
4436,Twisted,Sara Shepard,62081012
4437,The Crossing,Michael Connelly,316225886
4438,Dear Life,Alice Munro,771064861
4439,Five Little Monkeys Jumping on the Bed (The Five Little Monkeys),Eileen Christelow,899197698
4440,Kushiel's Avatar,Jacqueline Carey,1405034149
4441,El Aleph,"Jorge Luis Borges, Andrew Hurley",142437883
4442,Ruin,Rachel Van Dyken,
4443,The Long Goodbye,Raymond Chandler,394757688
4444,"Farewell, My Lovely",Raymond Chandler,394758277
4445,The Castle of Llyr,Lloyd Alexander,805080503
4446,Fade Out,Rachel Caine,451228669
4447,The Cat Who Could Read Backwards,Lilian Jackson Braun,425195201
4448,Charade,Nyrae Dawn,
4449,The Demigod Diaries,"Rick Riordan, Haley Riordan",1423163001
4450,If You Stay,Courtney Cole,
4451,Neil Patrick Harris: Choose Your Own Autobiography,"Neil Patrick Harris, David Javerbaum, Antony Hare",385346999
4452,Death du Jour,Kathy Reichs,671011375
4453,More Than a Carpenter,Josh McDowell,842345523
4454,Boneshaker ,Cherie Priest,765318415
4455,Rubyfruit Jungle,Rita Mae Brown,553146963
4456,Fallen in Love,Lauren Kate,375990674
4457,Sisters,Raina Telgemeier,545540607
4458,The Never War,D.J. MacHale,1597372552
4459,The Elf Queen of Shannara ,Terry Brooks,1857238273
4460,Mattimeo,Brian Jacques,441006108
4461,Nemesis Games,James S.A. Corey,
4462,"A Return to Love: Reflections on the Principles of ""A Course in Miracles""",Marianne Williamson,60927488
4463,First Family,David Baldacci,446539759
4464,True Grit,Charles Portis,1585673692
4465,Feel The Fear And Do It Anyway: How to Turn Your Fear and Indecision into Confidence and Action,Susan  Jeffers,449902927
4466,Mine,Katy Evans,
4467,Memoirs of an Imaginary Friend,Matthew Dicks,125000621X
4468,Haroun and the Sea of Stories,"Salman Rushdie, Paul Birkbeck",670886580
4469,,Susan Crandall,1476707723
4470,Poison Princess,Kresley Cole,1442436646
4471,"Tatiana and Alexander (The Bronze Horseman, #2)",Paullina Simons,7118899
4472,The Emperor's Blades,Brian Staveley,765336405
4473,Brick Lane,Monica Ali,743243315
4474,Half Bad,Sally Green,670016780
4475,Βίος και πολιτεία του Αλέξη Ζορμπά,"Nikos Kazantzakis, Νίκος Καζαντζάκης",571203132
4476,Sounder,"William H. Armstrong, James Barkley",64400204
4477,A Universe from Nothing: Why There Is Something Rather Than Nothing,"Lawrence M. Krauss, Richard Dawkins",145162445X
4478,Slash,"Slash, Anthony Bozza",61351423
4479,,Nalini Singh,425233367
4480,Rebel Belle,Rachel Hawkins,399256938
4481,The Mephisto Club,Tess Gerritsen,345476999
4482,The Scarlet Thread ,Francine Rivers,842342710
4483,It's a Magical World: A Calvin and Hobbes Collection,Bill Watterson,836221362
4484,,"Gene Luen Yang, Bryan Konietzko, Michael Dante DiMartino, Gurihiru",1595828117
4485,L'être et le néant,"Jean-Paul Sartre, Hazel E. Barnes, Mary Warnock, Richard Eyre",415278481
4486,Miecz przeznaczenia,Andrzej Sapkowski,8370540376
4487,Silent Spring,"Rachel Carson, Linda Lear, Edward O. Wilson",618249060
4488,Legion,Brandon Sanderson,1596064854
4489,Down the Rabbit Hole: Curious Adventures and Cautionary Tales of a Former Playboy Bunny,Holly Madison,62372106
4490,Kill Alex Cross,James Patterson,1846057647
4491,The Pearl that Broke Its Shell,Nadia Hashimi,62244752
4492,Behemoth,"Scott Westerfeld, Keith Thompson",1416971750
4493,The Sociopath Next Door,Martha Stout,767915828
4494,"Y: The Last Man, Vol. 8: Kimono Dragons","Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr.",1401210104
4495,,Jeff Kinney,810979772
4496,,Dan Brown,593054601
4497,The Tea Rose,Jennifer Donnelly,7208006
4498,Moon Over Soho,Ben Aaronovitch,345524594
4499,The Paris Architect,Charles Belfoure,1402284314
4500,Falling Kingdoms,"Morgan Rhodes, Michelle Rowen",1595145842
4501,Ask and It Is Given: Learning to Manifest Your Desires,"Esther Hicks, Jerry Hicks, Wayne W. Dyer",1401904599
4502,La isla bajo el mar,"Isabel Allende, Margaret Sayers Peden",61988243
4503,"The History of Tom Jones, a Foundling","Henry Fielding, Thomas Keymer, Alice Wakely",140436227
4504,"Winesburg, Ohio: A Group of Tales of Ohio Small-Town Life",Sherwood Anderson,192839772
4505,Beautiful Redemption,Jamie McGuire,1502541858
4506,C is for Corpse,Sue Grafton,312939019
4507,Y: The Last Man Vol. 5: Ring of Truth,"Brian K. Vaughan, Pia Guerra, José Marzán Jr.",1401204872
4508,Five Quarters of the Orange,Joanne Harris,60958022
4509,2666,Roberto Bolaño,843396867X
4510,Microserfs,Douglas Coupland,60987049
4511,How to Tell If Your Cat Is Plotting to Kill You,"Matthew Inman, The Oatmeal",1449410243
4512,Simple Genius,David Baldacci,446580341
4513,Light on Snow,Anita Shreve,316014281
4514,"Vampire Mountain (Cirque du Freak, #4) ",Darren Shan,316905747
4515,The Three Stigmata of Palmer Eldritch,Philip K. Dick,1407247425
4516,ふしぎな図書館  Fushigi na toshokan,"Haruki Murakami, Ted Goossen",385354304
4517,Deadeye Dick,Kurt Vonnegut Jr.,385334176
4518,"The Power (The Secret, #2)",Rhonda Byrne,1439181780
4519,Ancestors of Avalon ,"Diana L. Paxson, Marion Zimmer Bradley",451460286
4520,Ut og stjæle hester,"Per Petterson, Anne Born",1555974708
4521,"Batman: Knightfall, Part One: Broken Bat","Doug Moench, Chuck Dixon, Jim Aparo, Norm Breyfogle, Graham Nolan, Jim Balent",1563891425
4522,"Saga, Volume Five","Brian K. Vaughan, Fiona Staples",1632154382
4523,The Lions of Lucerne,Brad Thor,1416543686
4524,Four Past Midnight,"Stephen King, Willem Dafoe",453007449
4525,The Sign of the Beaver,Elizabeth George Speare,440779030
4526,Ask the dust ,"John Fante, Charles Bukowski",60822554
4527,All Over But the Shoutin',Rick Bragg,679774025
4528,The Key to Midnight,"Leigh Nichols, Dean Koontz",425147517
4529,Grimm Tales for Young and Old,"Philip Pullman, Jacob Grimm, Wilhelm Grimm",067002497X
4530,"Debt of Bones (The Sword of Truth, #0.5)",Terry Goodkind,765351544
4531,Žert,Milan Kundera,571166938
4532,The White Princess,Philippa Gregory,
4533,Flight of the Intruder,Stephen Coonts,1591141273
4534,Silver on the Tree,Susan Cooper,689840330
4535,National Velvet,Enid Bagnold,1405209496
4536,"Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way",Richard Branson,812932293
4537,Λυσιστράτη,"Aristophanes, Sarah Ruden",872206033
4538,The Swan Thieves,Elizabeth Kostova,1847442404
4539,Iced,Karen Marie Moning,385344406
4540,14,Peter Clines,
4541,Okay for Now,Gary D. Schmidt,547152604
4542,"Assassins : Assignment: Jerusalem, Target: Antichrist","Tim LaHaye, Jerry B. Jenkins",842329277
4543,Red Country,Joe Abercrombie,316214442
4544,The Lords of Discipline,Pat Conroy,553271369
4545,Eat And Run,"Scott Jurek, Steve Friedman",547569653
4546,Broken,Karin Slaughter,385341970
4547,The Matchmaker,Elin Hilderbrand,316099759
4548,The Mark: The Beast Rules the World,"Tim LaHaye, Jerry B. Jenkins",842332286
4549,Belong to Me,Marisa de los Santos,61240273
4550,,Erin Hunter,60525851
4551,L.A. Confidential,James Ellroy,99366711
4552,The Beautiful Mystery,Louise Penny,1250031125
4553,The Diamond Throne,David Eddings,345367693
4554,"Those Left Behind (Serenity, #1)","Joss Whedon, Brett Matthews, Will Conrad",1593074492
4555,Terms of Endearment,Larry McMurtry,075283455X
4556,Kiss of the Night,Sherrilyn Kenyon,074990741X
4557,The Wedding Girl,Madeleine Wickham,552772275
4558,,Max Lucado,849905702
4559,Entice,Carrie Jones,1408810441
4560,"From Russia, with Love",Ian Fleming,142002070
4561,The Tortilla Curtain,T.C. Boyle,014023828X
4562,Darkest Mercy,Melissa Marr,61659258
4563,Modern Lovers,Emma Straub,159463467X
4564,"Checkmate (A Neighbor from Hell, #3)",R.L. Mathewson,
4565,The Amazing Maurice and His Educated Rodents ,Terry Pratchett,006001234X
4566,With The Old Breed: At Peleliu And Okinawa,"Eugene B. Sledge, Paul Fussell",195067142
4567,The Hundred Dresses,"Eleanor Estes, Louis Slobodkin",152052607
4568,Lost Lake,Sarah Addison Allen,125001980X
4569,Hardwired,Meredith Wild,
4570,The Last Runaway,Tracy Chevalier,525952993
4571,Midnight Tides,Steven Erikson,553813145
4572,The 100,Kass Morgan,316234478
4573,Hades,Alexandra Adornetto,312656270
4574,Y: The Last Man Vol. 3: One Small Step,"Brian K. Vaughan, Pia Guerra, José Marzán Jr., Paul Chadwick",1401202012
4575,Bear Snores On,"Karma Wilson, Jane Chapman",689831870
4576,"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls, and Everything in Between",Lauren Graham,425285170
4577,Memoirs of a Teenage Amnesiac,Gabrielle Zevin,374349460
4578,Salamandastron,"Brian Jacques, Gary Chalk",142501522
4579,Servant of the Bones,Anne Rice,963192566
4580,Ironside: A Modern Faery's Tale,Holly Black,689868200
4581,Finnikin of the Rock,Melina Marchetta,670072818
4582,The Return of the Native,"Thomas Hardy, Alexander Theroux",037575718X
4583,Micro,"Michael Crichton, Richard   Preston",62094734
4584,No Exit and Three Other Plays,"Jean-Paul Sartre, Stuart Gilbert, Lionel Abel",679725164
4585,"Foundation and Chaos (Second Foundation Trilogy, #2)",Greg Bear,1857237366
4586,Cover Her Face,P.D. James,743219570
4587,Supernaturally,Kiersten White,61985864
