id,author,name,serial_number
8513,Dave Ramsey,Financial Peace Revisited,670032085
8514,Mary Higgins Clark,I'll Be Seeing You,671888587
8515,Carol Burnett,,307461181
8516,Ruth Ozeki,My Year of Meats,140280464
8517,Octavia E. Butler,Fledgling,446696161
8518,Kristen Ashley,At Peace,
8519,"Samuel Shem, John Updike",The House of God,385337388
8520,"Ayşe Kulin, John W. Baker",Nefes Nefese,
8521,Pam Muñoz Ryan,Echo,439874025
8522,Keri Smith,Wreck This Journal,039953346X
8523,"Aleksandr Solzhenitsyn, Edward E. Ericson Jr.","Архипелаг ГУЛАГ, 1918-1956",60007761
8524,Heinrich Harrer,Sieben Jahre in Tibet,874778883
8525,J. Courtney Sullivan,Commencement,307270742
8526,Suzanne Weyn,The Bar Code Tattoo (Point Thriller),439395623
8527,Kresley Cole,MacRieve,1451649916
8528,Larry Levin,Oogy: The Dog Only a Family Could Love,446546313
8529,James Ellroy,American Tabloid,037572737X
8530,Thomas E. Sniegoski,"The Fallen and Leviathan (The Fallen, #1-2)",1442408626
8531,Anne McCaffrey,The Renegades of Pern,345419391
8532,"José Saramago, Giovanni Pontiero",Memorial do Convento,156005204
8533,"Rose Levy Beranbaum, Maria Guarnaschelli, Vincent Lee, Manuela Paul, Dean G. Bornstein",The Cake Bible,688044026
8534,Robert  Beatty,Serafina and the Black Cloak,1484709012
8535,"Alan Dean Foster, George Lucas",Star Wars: From the Adventures of Luke Skywalker,1857239407
8536,Nancy Thayer,Summer House,345498208
8537,Sarah Turnbull,Almost French: Love and a New Life in Paris,1592400825
8538,Amélie Nothomb,Stupeur et tremblements,
8539,Anne Rice,Pandora / Vittorio the Vampire (New Tales of the Vampires),345476867
8540,Candace Bushnell,Summer and the City,61728934
8541,Jeffery Deaver,The Stone Monkey,1410400964
8542,J.D. Robb,Origin in Death,042520426X
8543,Angela Johnson,The First Part Last,689849230
8544,"Christopher Chabris, Daniel Simons",The Invisible Gorilla,307459659
8545,Tami Hoag,Prior Bad Acts,055358359X
8546,Erin Hunter,Firestar's Quest,61131644
8547,Steve Toltz,A Fraction of the Whole,385521723
8548,Jon Klassen,This is Not My Hat,763655996
8549,Ramit Sethi,I Will Teach You To Be Rich,761147489
8550,Nelson DeMille,Radiant Angel,446580856
8551,Jeff Wheeler,The Queen's Poisoner,
8552,"Karen Kingsbury, Gary Smalley",Rejoice,84386874
8553,Michio Kaku,Physics of the Future: How Science Will Shape Human Destiny and Our Daily Lives by the Year 2100 ,385530803
8554,Jennifer Lynn Barnes,The Naturals,1423168232
8555,"Hergé, Leslie Lonsdale-Cooper, Michael Turner",,1405208198
8556,"Henning Mankell, Ebba Segerberg",Brandvägg,99459051
8557,"Michael Buckley, Peter Ferguson",Tales From the Hood,081099478X
8558,"Charles Bernard Nordhoff, James Norman Hall",Mutiny on the Bounty,316611689
8559,Ken Akamatsu,ラブひな #1,1931514941
8560,"William Arntz, Betsy Chasse, Mark Vicente",What the Bleep Do We Know!?: Discovering the Endless Possibilities for Altering Your Everyday Reality,075730334X
8561,Jeff Wheeler,The Wretched of Muirwood,1612187005
8562,Johanna Lindsey,Gentle Rogue,380753022
8563,Terry Pratchett,The Shepherd's Crown,62429973
8564,"Elizabeth Gaskell, Shirley Foster",Mary Barton,192805622
8565,Joseph Conrad,Nostromo: a Tale of the Seaboard,486424529
8566,Ellen Marie Wiseman,The Plum Tree,758278438
8567,"Tsugumi Ohba, Takeshi Obata",デスノート #7 (Desu Nōto) Zero (零),1421506289
8568,Michael J. Sullivan,The Crown Conspiracy,980003431
8569,Sherrilyn Kenyon,Styxx,1250029880
8570,"Honoré de Balzac, Sylvia Raphael, Christopher Prendergast",Eugénie Grandet,019280474X
8571,"Marcella Hazan, Karin Kretschmann",Essentials of Classic Italian Cooking,039458404X
8572,"Arnaldur Indriðason, Bernard Scudder",Grafarþögn,312340710
8573,Jess Rothenberg,The Catastrophic History of You and Me,803737203
8574,April Henry,"Girl, Stolen",805090053
8575,Obert Skye,"Leven Thumps and the Eyes of the Want (Leven Thumps, #3)",1590388003
8576,"Bill O'Reilly, Martin Dugard",Killing Reagan,
8577,"Leah Wilson, Jennifer Lynn Barnes, Mary Borsellino, Sarah Rees Brennan, Terri  Clark, Bree Despain, Adrienne Kress, Sarah Darer Littman, Cara Lockwood, Elizabeth M. Rees, Carrie Ryan, Ned Vizzini, Lili Wilkinson, Blythe Woolston",The girl who was on fire,1935618040
8578,"Russell Hoban, Lillian Hoban",A Bargain for Frances,006444001X
8579,J.D. Robb,Calculated in Death,399158820
8580,Maggie Nelson,The Argonauts,1555977073
8581,"Jann S. Wenner, Corey Seymour",Gonzo: The Life of Hunter S. Thompson,316005274
8582,Dominic Smith,The Last Painting of Sara de Vos,374106681
8583,Louise Jensen,The Sister,
8584,Jennifer Estep,Kiss of Frost,758266944
8585,David Shannon,Duck On A Bike,439050235
8586,Margaret Leroy,The Collaborator,1401341705
8587,Jennifer A. Nielsen,The Shadow Throne,
8588,Paul Auster,City of Glass,140097317
8589,Machado de Assis,Memórias Póstumas de Brás Cubas,850515025
8590,Elizabeth  George,This Body of Death,61160881
8591,L.M. Montgomery,Emily Climbs,553262149
8592,Jacqueline Carey,Kushiel's Mercy,446500046
8593,Thomas C. Foster,,006000942X
8594,Orson Scott Card,Shadows in Flight,765332000
8595,Ilona Andrews,Burn For Me,62289241
8596,Robert Crais,Chasing Darkness,743281640
8597,Lauren Myracle,"ttyl (Internet Girls, #1)",810987880
8598,Bruce Campbell,If Chins Could Kill: Confessions of a B Movie Actor,312291450
8599,"Matsuri Hino, Tomo Kimura",ヴァンパイア騎士 4,1421515636
8600,"Denis Johnson, Bettina Abarbanell",Train Dreams,3499237709
8601,Rolf Dobelli,Die Kunst des klaren Denkens,62219685
8602,Ellen Stoll Walsh,Mouse Paint,152002650
8603,L.D. Davis,,
8604,Ulrich Bischoff,Edvard Munch,3822859710
8605,"Charles Harrison, Paul Wood","Art in Theory, 1900-2000: An Anthology of Changing Ideas",631227083
8606,"Hervé Tullet, Christopher Franceschelli",Un livre,811879542
8607,Robert Muchamore,The Killing (Cherub #4),340894334
8608,Harlan Coben,Darkest Fear,752849190
8609,"Alfred Tennyson, Charles Keeping",The Lady of Shalott,192723715
8610,Lisi Harrison,"Revenge of the Wannabes (The Clique, #3)",689875460
8611,"Friedrich Nietzsche, Douglas Smith",Zur Genealogie der Moral,019283617X
8612,"Jamie Delano, John Ridgway, Alfredo Alcalá","John Constantine, Hellblazer: Volume 1: Original Sins",1563890526
8613,"Jane Lynch, Lisa Dickey",,1401341764
8614,Jonathan Renshaw,Dawn of Wonder,
8615,J.D. Robb,Celebrity in Death,749955910
8616,سلطان موسى الموسى,,
8617,"Walter Moers, John Brownjohn",Die 13½ Leben des Käpt'n Blaubär ,1585678449
8618,Antonia Fraser,The Wives of Henry VIII,140132937
8619,Shel Silverstein,Every Thing On It,61998168
8620,Raymond Briggs,The Snowman,394839730
8621,Jay Crownover,,62333046
8622,Quinn Loftis,Just One Drop,
8623,"Carl Sagan, Ann Druyan",Billions and Billions: Thoughts on Life and Death at the Brink of the Millennium,345379187
8624,John Sandford,Rough Country,399155988
8625,John Updike,Rabbit Redux,449911934
8626,Lemony Snicket,Lemony Snicket: The Unauthorized Autobiography,60562250
8627,Winston Graham,Ross Poldark,330344951
8628,Gregg Hurwitz,Orphan X,1250067847
8629,Bella Andre,The Look of Love,
8630,Stephen King,Blockade Billy,1587672286
8631,Robert Ludlum,The Matlock Paper,752858637
8632,Roland Merullo,Breakfast with Buddha,1565125525
8633,"Suetonius, Michael Grant, Robert Graves",De vita Caesarum ,140449213
8634,"Ibraheem Abbas, إبراهيم عباس, Yasser Bahjatt",حوجن,1627761314
8635,Bernard Cornwell,Sharpe's Rifles,140294295
8636,R.A. Salvatore,"Vector Prime (Star Wars: The New Jedi Order, #1)",345479335
8637,Scott Westerfeld,"Touching Darkness (Midnighters, #2)",60519568
8638,Lisa Lutz,Revenge of the Spellmans,1416593381
8639,Charlie LeDuff,,1594205345
8640,Dorothy L. Sayers,Gaudy Night,61043494
8641,C.S. Pacat,Kings Rising,174348495X
8642,"Penelope Douglas, Abby Craden, Nelson Hobbs",Rival,
8643,Philip Reeve,Mortal Engines,60082097
8644,"James Patterson, Mark Pearson",Private London,1846058317
8645,Faith Hunter,Blood Cross,451463072
8646,Gemma Halliday,Spying in High Heels,
8647,Raymond Chandler,The Lady in the Lake,394758250
8648,"Bernadette Rossetti-Shustak, Caroline Jayne Church",I Love You Through And Through,439673631
8649,Lisa Gardner,,525954562
8650,"Jim Krueger, Alex Ross, Doug Braithwaite",,1401211038
8651,Tad Williams,River of Blue Fire,886778441
8652,"William Nicholson, Peter Sís",The Wind Singer,786814179
8653,Scarlett Thomas,The End of Mr. Y.,156031612
8654,"Michael Chabon, Gary Gianni",Gentlemen of the Road,345501748
8655,"James Andrew Miller, Tom Shales",Those Guys Have All the Fun: Inside the World of ESPN,316043001
8656,Daniel Wallace,Big Fish: A Novel of Mythic Proportions,743484258
8657,Tammara Webber,Breakable,425266869
8658,Lisa O'Donnell,The Death of Bees,62209841
8659,Frances Mayes,Bella Tuscany,076790284X
8660,Rachel Caine,Black Dawn,451236718
8661,"Tim Tebow, Nathan Whitaker",,62007289
8662,Octavia E. Butler,Parable of the Talents,446610380
8663,"Joe Hill, Gabriel Rodríguez","Locke & Key, Vol. 6: Alpha & Omega",1613778538
8664,J.G. Ballard,Empire of the Sun,
8665,"Patricia M. Scarry, Richard Scarry","The Country Mouse and the City Mouse, The Dog and His Bone, The Fox and the Crow (A Little Golden Book)",307020754
8666,Paul Theroux,Dark Star Safari ,618446877
8667,Anne McCaffrey,Crystal Singer,345327861
8668,Sarah J. Maas,The Assassin and the Underworld,
8669,"Laura Joffe Numeroff, Felicia Bond",If You Give a Cat a Cupcake,60283246
8670,James Luceno,Star Wars: Darth Plagueis,034551128X
8671,"Anderson Cooper, Gloria Vanderbilt","The Rainbow Comes and Goes: A Mother and Son On Life, Love, and Loss",006245496X
8672,Ben H. Winters,Underground Airlines,316261246
8673,Ann Cleeves,Raven Black,312359667
8674,Sherrilyn Kenyon,Infamous,1250002826
8675,"Sarah L. Delany, A. Elizabeth Delany, Amy Hill Hearth",Having Our Say: The Delany Sisters' First 100 Years,440220424
8676,Richard Price,Lush Life,374299250
8677,Peter Hedges,What's Eating Gilbert Grape,671038540
8678,Gail Carriger,Curtsies & Conspiracies,
8679,Annie Barrows,,385342942
8680,"Karen Kingsbury, Gary Smalley",Reunion,842386882
8681,Armistead Maupin,More Tales of the City,055299877X
8682,"Émile Zola, Robin Buss",Thérèse Raquin,140449442
8683,Chris Bohjalian,,307394999
8684,J.S. Scott,The Billionaire's Obsession ~ Simon,
8685,Sarah Pinborough,Behind Her Eyes,125011117X
8686,"Robert W. Chambers, E.F. Bleiler",The King in Yellow,486437507
8687,Patrick O'Brian,H.M.S. Surprise ,393307611
8688,"Ayn Rand, Nathaniel Branden",The Virtue of Selfishness: A New Concept of Egoism,451163931
8689,Debbie Macomber,Twenty Wishes,778325504
8690,Joseph Boyden,Through Black Spruce,670020575
8691,Susan  Wilson,One Good Dog,312571259
8692,Jeanette Winterson,Sexing the Cherry,802135781
8693,Randy Susan Meyers,The Murderer's Daughters,312576986
8694,J.D. Robb,Strangers in Death ,399154701
8695,Victoria Schwab,The Archived,1423157311
8696,David Mamet,Glengarry Glen Ross,802130917
8697,Umberto Eco,L'isola del giorno prima,156030373
8698,Ruth Wariner,The Sound of Gravel,1250077699
8699,Beatrix Potter,The Complete Adventures of Peter Rabbit,072324734X
8700,Charles M. Schulz,A Charlie Brown Christmas ,606300538
8701,Frank Miller,,9509051373
8702,Nalini Singh,Hostage to Pleasure,425223256
8703,Adrian Nicole LeBlanc,"Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx",743254430
8704,"Leo Tolstoy, Louise Maude, Aylmer Maude",Воскресение,735102864
8705,Larry Correia,Hard Magic,1439134340
8706,John Sandford,Storm Prey,1847376177
8707,Lee Strobel,The Case for a Creator: A Journalist Investigates Scientific Evidence That Points Toward God,310240506
8708,Benedict Jacka,Fated,1937007294
8709,Maggie O'Farrell,Instructions for a Heatwave,755358783
8710,Jonathan Kellerman,Victims,345505719
8711,"Janet Evanovich, Lee Goldberg",,345543122
8712,Jeff Kinney,Old School,1419717014
8713,Victoria Helen Stone,"Evelyn, After",
8714,Sharon G. Flake,The Skin I'm In,786813075
8715,James Rollins,The Eye of God: A Sigma Force Novel,006178480X
8716,Kazuo Ishiguro,An Artist of the Floating World,571225365
8717,"Pascal Mercier, Barbara Harshav",Nachtzug nach Lissabon,802118585
8718,Tessa Dare,Romancing the Duke,62240196
8719,Martha Grimes,"The Man With a Load of Mischief (Richard Jury Mystery, #1)",451410815
8720,Jessica Sorensen,The Underworld,1463756976
8721,David McCullough,"The Path Between the Seas: The Creation of the Panama Canal, 1870-1914",743262131
8722,Louise Erdrich,LaRose,62277022
8723,Lucie Whitehouse,Before we met,1620402750
8724,"The Waiter, Steve Dublanica",Waiter Rant: Thanks for the Tip-Confessions of a Cynical Waiter,61256684
8725,Kevin Hearne,Two Ravens and One Crow,385366434
8726,Robert Louis Stevenson,The Black Arrow: A Tale of the Two Roses,543896609
8727,"Tom Clancy, Grant Blackwood",Dead or Alive,399157239
8728,V.C. Andrews,"Fallen Hearts (Casteel, #3)",671729403
8729,Melanie Rawn,Dragon Prince,756403014
8730,Jeffery Deaver,The Burning Wire,1439156336
8731,Breena Clarke,"River, Cross My Heart",316899984
8732,"Nancy Leigh DeMoss, Elisabeth Elliot",Lies Women Believe: And the Truth that Sets Them Free,802472966
8733,Jack London,To Build a Fire,968709184
8734,Lisi Harrison,Invasion of the Boy Snatchers,316701343
8735,John Irving,The 158-Pound Marriage,345417968
8736,Chris Anderson,Free: The Future of a Radical Price,1401322905
8737,"Joe Sacco, Edward Said",Palestine,156097432X
8738,"Vincent van Gogh, Irving Stone, Jean   Stone",Dear Theo: The Letters of Vincent Van Gogh,452275040
8739,Cecelia Ahern,One Hundred Names,7350481
8740,Louisa May Alcott,Good Wives,1419122126
8741,Yangsze Choo,The Ghost Bride,62227327
8742,"Terry Brooks, George Lucas",The Phantom Menace,99409968
8743,"Gene Luen Yang, Michael Dante DiMartino, Gurihiru, Bryan Konietzko",,1595828753
8744,Karina Halle,,
8745,Jacqueline Wilson,Girls in Love,552551317
8746,"Else Holmelund Minarik, Maurice Sendak",Little Bear's Friend,64440516
8747,Twyla Tharp,The Creative Habit: Learn It and Use It for Life,743235274
8748,"Mourid Barghouti, مريد البرغوثي", رأيت رام الله,
8749,Jocelyn Davies,A Beautiful Dark ,61990655
8750,"Marion Zimmer Bradley, Diana L. Paxson",Lady of Avalon,788720392
8751,"Tom Clancy, Mark Greaney",Threat Vector,399160450
8752,"Miles Davis, Quincy Troupe",Miles: The Autobiography,671725823
8753,Elizabeth Winthrop,"The Castle In The Attic (The Castle In The Attic, #1)",440409411
8754,Steven Tyler,Does the Noise in My Head Bother You?,61767891
8755,George R.R. Martin,The Sworn Sword,
8756,Jeffery Deaver,The Broken Window,1416549978
8757,H.P. Lovecraft,,
8758,Christina Lauren,Beautiful Secret,1476778019
8759,Patricia Cornwell,Dust,399157573
8760,Anton Chekhov,Три сестры,486275442
8761,Anthony Horowitz,Evil Star,439679966
8762,Abbi Glines,,1476776075
8763,"Janet Evanovich, Charlotte Hughes",Full Tilt,031298328X
8764,Josh Bazell,Beat the Reaper,316032220
8765,Elin Hilderbrand,Nantucket Nights,312989768
8766,"Brian Herbert, Kevin J. Anderson",Dune: The Machine Crusade ,076534078X
8767,Piers Anthony,"Ogre, Ogre (Xanth, #5)",345418530
8768,"Arthur Conan Doyle, William S. Baring-Gould",The Annotated Sherlock Holmes,517502917
8769,Joanna Wylde,Devil's Game,425272354
8770,Nicky Charles,The Keeping,
8771,Mercer Mayer,There's a Nightmare in My Closet (Pied Piper Book),140547126
8772,Patricia Cornwell,Flesh and Blood,62325345
8773,Beth Moore,Breaking Free,805445528
8774,Eric Hill,Where's Spot? ,140504206
8775,"Penelope Ward, Vi Keeland",Cocky Bastard,1515303942
8776,Jan Karon,Out to Canaan (Mitford),143035061
8777,"James Patterson, Michael Ledwidge",The Dangerous Days of Daniel X,316002925
8778,"Camilla Läckberg, Tiina Nunnally",Tyskungen,000741949X
8779,Terry McMillan,Waiting to Exhale,451217454
8780,Elizabeth Eulberg,Prom and Prejudice,545240778
8781,Carl Hiaasen,Strip Tease,044669567X
8782,Gabriel García Márquez,Doce cuentos peregrinos,1400034698
8783,Kevin J. Anderson,"Jedi Search (Star Wars: The Jedi Academy Trilogy, #1)",553297988
8784,Ted Dekker,Showdown by Ted Dekker Signature Edition,1595541810
8785,J.D. Robb,Thankless in Death ,399164421
8786,John le Carré,Call for the Dead,743431677
8787,Brian Jacques,Marlfox,142501085
8788,"Yasunari Kawabata, Edward G. Seidensticker",雪国 ,679761047
8789,J. Maarten Troost,Getting Stoned with Savages: A Trip Through the Islands of Fiji and Vanuatu,767921992
8790,Robin Cook,Chromosome 6,425161242
8791,Dave Barry,Big Trouble,425178102
8792,"Fyodor Dostoyevsky, Ergin Altay",Записки из Мёртвого дома,486434095
8793,Kim Gruenenfelder,"A Total Waste of Makeup (Charlize Edwards, #1)",031234872X
8794,Morris Gleitzman,Once,014132063X
8795,Cecily von Ziegesar,Because I'm Worth It,316909688
8796,John Sandford,,399162372
8797,Sara Shepard,"Stunning (Pretty Little Liars, #11)",62081896
8798,Gary Brandner,The Howling,449138240
8799,Roger Zelazny,Sign of the Unicorn,380008319
8800,Carl Hiaasen,Scat,375834869
8801,Douglas Coupland,Life after God,743231511
8802,John Berendt,The City of Falling Angels,143036939
8803,Rosamund Lupton,Afterwards,307716546
8804,Ilana Tan,Autumn in Paris,9792230300
8805,Charles Bukowski,Hot Water Music,876855966
8806,Wilbur Smith,Warlock: A Novel of Ancient Egypt,312980388
8807,Oprah Winfrey,,1250054052
8808,Amanda Hocking,Wisdom,
8809,Colm Tóibín,The Testament of Mary,1451688385
8810,Sara B. Larson,Defy,
8811,Fannie Flagg,,345452887
8812,Mircea Eliade,Maitreyi,9735004100
8813,Christina McKenna,The Misremembered Man,
8814,Glen David Gold, Carter Beats the Devil,786886323
8815,"Georges Bataille, Joachim Neugroschel, Dovid Bergelson",Histoire de l'oeil,872862097
8816,Kate Jacobs,Knit Two,039915583X
8817,Maurice Sendak,In the Night Kitchen,99417472
8818,Raymond Carver,"Will You Please Be Quiet, Please?",99449897
8819,"Rainer Maria Rilke, Stephen Mitchell, Robert Hass",,679722017
8820,Larissa Ione,Eternal Rider,044657449X
8821,"Gabriel García Márquez, Randolph Hogan",Relato de un náufrago,
8822,J.D. Robb,Concealed in Death,039916443X
8823,Christiane Northrup,"Women's Bodies, Women's Wisdom: Creating Physical and Emotional Health and Healing",553384104
8824,John Sandford,Mind Prey,425152898
8825,Lindsay Ashford,,
8826,"Warren Ellis, John Cassaday","Planetary, Volume 1: All Over the World and Other Stories",1563897776
8827,Danielle L. Jensen,Stolen Songbird,1908844965
8828,Andy Cohen,,805095837
8829,Stephen King,"The Green Mile, Part 2: The Mouse on the Mile",451190521
8830,Mary Higgins Clark,A Cry in the Night,743484355
8831,"Assata Shakur, Angela Y. Davis, Lennox S. Hinds",Assata: An Autobiography,1556520743
8832,Clive Barker,"Days of Magic, Nights of War",60596384
8833,"Paul Galdone, Peter Christen Asbjørnsen",The Three Billy Goats Gruff,899190359
8834,Willow Aster,True Love Story,
8835,"Corina Bomann, Alison Layland",Der Mondscheingarten,
8836,Edward M. Kennedy,True Compass: A Memoir,446539252
8837,Ian Fleming,Diamonds are Forever,142002054
8838,James Hilton,Lost Horizon,60594527
8839,Caroline Kepnes,Hidden Bodies,
8840,"Nella Larsen, Ntozake Shange, Thadious M. Davis",Passing,142437271
8841,"Neil Gaiman, Michael Reaves",InterWorld,61238961
8842,David Levithan,The Realm of Possibility,375836578
8843,Harry Bernstein,The Invisible Wall: A Love Story That Broke Barriers,345495802
8844,Brenna Yovanoff,The Replacement,1595143378
8845,"George Carlin, Tony Hendra",,1439172951
8846,James Gleick,"The Information: A History, a Theory, a Flood",375423729
8847,Homer Hickam,Rocket Boys,385333218
8848,Danielle Steel,,440236924
8849,John le Carré,A Perfect Spy,743457927
8850,Raymond Chandler,The High Window,394758269
8851,Laurell K. Hamilton,Affliction,425255700
8852,Kristen Ashley,Wildest Dreams,
8853,John Sandford,Sudden Prey,425157539
8854,Francine Rivers,Mark of the Lion Trilogy,842339523
8855,Richard Branson,"Screw It, Let's Do It",753510995
8856,"Betty MacDonald, Alexandra Boiger",Mrs. Piggle-Wiggle's Magic,64401510
8857,"Roald Dahl, Quentin Blake",Revolting Rhymes,142302260
8858,Val McDermid,The Mermaids Singing ,312983603
8859,C.S. Lewis,The Weight of Glory,60653205
8860,Nora Roberts,Sanctuary,515122734
8861,Robert Crais,Sunset Express,345454944
8862,J.R. Ward,The Bourbon Kings,698193032
8863,Alistair MacLean,The Guns of Navarone,449214729
8864,Ian Fleming,On Her Majesty's Secret Service,142003255
8865,Robin Norwood,Women Who Love Too Much,671733419
8866,Perry Moore,Hero,1423101952
8867,Alex Kotlowitz,There Are No Children Here: The Story of Two Boys Growing Up in the Other America,385265565
8868,Agatha Christie,At Bertram's Hotel,2310015
8869,Kiera Cass,Happily Ever After,8143676
8870,"John D. Fitzgerald, Mercer Mayer",The Great Brain,142400580
8871,Chris d'Lacey,The Fire Eternal,1846164257
8872,Julie Garwood,Mercy,743430336
8873,Roddy Doyle,The Commitments,749391685
8874,Chuck Palahniuk,Tell-All,385526350
8875,Sonya Sones,What My Mother Doesn't Know,689855532
8876,Danielle Trussoni,Angelology,670021474
8877,"Paula H. Deen, John Berendt",The Lady & Sons Savannah Country Cookbook,375751114
8878,"Gabriel García Márquez, J.S. Bernstein",El coronel no tiene quién le escriba,60751576
8879,Nicholas Pileggi,Wiseguy: Life in a Mafia Family,671723227
8880,"Warren Ellis, Darick Robertson, Rodney Ramos, Patrick Stewart","Transmetropolitan, Vol. 5: Lonely City",1563897229
8881,Kent Haruf,Benediction,307959880
8882,عباس معروفی, سمفونی مردگان,9643113442
8883,Linda Howard,After the Night,671019708
8884,Chelsea Cain, Evil at Heart,230015913
8885,Cynthia Swanson,The Bookseller,62333003
8886,"Anatoli Boukreev, G. Weston DeWalt",The Climb: Tragic Ambitions on Everest,312965338
8887,Django Wexler,The Thousand Names,451465105
8888,Louisa May Alcott,An Old-Fashioned Girl,1406501069
8889,Jamie McGuire,Beautiful Burn,
8890,"Natsuki Takaya, Alethea Nibley, Athena Nibley",フルーツバスケット 2,1591826047
8891,Bart D. Ehrman,Misquoting Jesus: The Story Behind Who Changed the Bible and Why,60859512
8892,Mariana Zapata,Wait for It,
8893,Ursula K. Le Guin,The Other Wind,044101125X
8894,"Steve Berry, Scott Brick",The Paris Vendetta,739329189
8895,Anthony Horowitz,Moriarty,62377183
8896,"William Shakespeare, Roma Gill, Robert          Jackson",The tragedie of King Richard the second,198320043
8897,Johanna Lindsey,Prisoner of my desire ,380756277
8898,Greg Iles,Blood Memory,743454154
8899,"George Gordon Byron, Peter J. Manning, Susan J. Wolfson",Selected Poems,140424504
8900,Laura Lippman,After I'm Gone,62083392
8901,Jennifer Worth,Shadows of the Workhouse: The Drama of Life in Postwar London,297853260
8902,"Anna Gavalda, Alison Anderson","Ensemble, c'est tout",159448144X
8903,"Peter Lynch, John Rothchild",One Up On Wall Street : How To Use What You Already Know To Make Money In The Market,743200403
8904,Iain M. Banks,Against a Dark Background,1857230310
8905,Fannie Flagg,I Still Dream About You,1400065933
8906,Jonathan Swift,A Modest Proposal and Other Satirical Works,486287599
8907,Alan W. Watts,The Book on the Taboo Against Knowing Who You Are,679723005
8908,"Bertolt Brecht, David Hare",Mutter Courage und ihre Kinder,155970361X
8909,Jeaniene Frost,Up From the Grave ,62076116
8910,Jessica Day George,"Sun and Moon, Ice and Snow",1599901099
8911,Brent Weeks,The Blood Mirror,
8912,Nic Pizzolatto,Galveston,1439166641
8913,"Mac Barnett, Jon Klassen",,61953385
8914,Justin Torres,We the Animals,547576722
8915,Daniel C. Dennett,Breaking the Spell: Religion as a Natural Phenomenon,067003472X
8916,"Edmund Spenser, Thomas P. Roche, C. Patrick O'Donnell",The Faerie Queene,140422072
8917,Francine Rivers,Her Daughter's Dream,1414334095
8918,Kristen Ashley,,
8919,Alissa Nutting,Tampa,62280562
8920,Arthur Nersesian,The Fuck-Up,671027638
8921,Steve Alten,MEG: A Novel of Deep Terror,976165910
8922,Frank Beddor,Seeing Redd,803731558
8923,John O'Hara,Appointment in Samarra,375719202
8924,"Janet Ahlberg, Allan Ahlberg",Each Peach Pear Plum,067088278X
8925,"Gene Kim, Kevin Behr, George Spafford",,988262592
8926,Brandon Stanton,,1250038820
8927,"Chris Van Allsburg, Lois Lowry, Kate DiCamillo, M.T. Anderson, Louis Sachar, Stephen King, Tabitha King, Jon Scieszka, Sherman Alexie, Gregory Maguire, Cory Doctorow, Jules Feiffer, Linda Sue Park, Walter Dean Myers, Lemony Snicket",,547548109
8928,"Erin Gruwell, Zlata Filipović, The Freedom Writers",The Freedom Writers Diary: How a Teacher and 150 Teens Used Writing to Change Themselves and the World Around Them,038549422X
8929,Fareed Zakaria,The Post-American World 2.0,039306235X
8930,Jon Ronson,Them: Adventures with Extremists,743233212
8931,"Susanna Clarke, Charles Vess",The Ladies of Grace Adieu and Other Stories,1596912510
8932,Dinah Bucholz,,1440503257
8933,Bill Browder,"Red Notice: A True Story of High Finance, Murder, and One Man’s Fight for Justice",147675571X
8934,David Bach,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,767923820
8935,Cat Patrick,Forgotten,316094617
8936,Jill Leovy,Ghettoside: A True Story of Murder in America,385529988
8937,"Terry Jones, Brian Froud",Lady Cottington's Pressed Fairy Book,1857933362
8938,Chevy Stevens,That Night,1250034604
8939,Paul Torday,Salmon Fishing in the Yemen,753821788
8940,Alex  Ross,The Rest Is Noise: Listening to the Twentieth Century,374249393
8941,Katie Klein,Cross My Heart,
8942,Trish Doller,Something Like Normal,1599908441
8943,Glenn Greenwald,"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State",162779073X
8944,Orson Scott Card,Pastwatch: The Redemption of Christopher Columbus,812508645
8945,Lisa Gardner,The Next Accident,752848267
8946,Hafez,دیوان‎‎ [Dīvān],9646534783
8947,John L. Parker Jr.,Once a Runner,915297019
8948,Ben Hatke,Zita the Spacegirl,1596434465
8949,"Dante Alighieri, Dorothy L. Sayers, Barbara Reynolds",Paradiso,140441050
8950,William  Boyd,Restless,747589372
8951,Nancy Farmer,"The Ear, the Eye, and the Arm",140376410
8952,"Amy Lichtenhan, A.L. Jackson",Pulled,
8953,R.L. Stine,Stay Out of the Basement,439568455
8954,Kathryn Croft,,
8955,Belle Aurora,Willing Captive,
8956,R.L. Stine,One Day at Horrorland,439568412
8957,David Lebovitz,The Sweet Life in Paris: A Recipe for Living in the World's Most Delicious City,767928881
8958,Julie Kagawa,Talon,373211392
8959,Grace Draven,Radiance,
8960,Mark Haddon,The Red House,385535775
8961,"Larry Niven, Jerry Pournelle",Footfall,345418425
8962,Heather Brewer,Twelfth Grade Kills,525422242
8963,Alistair MacLean,Ice Station Zebra,6161413
8964,Ronald C. White Jr.,A. Lincoln: A Biography,1400064996
8965,"William Shakespeare, Sylvan Barnet, Alvin Kernan, Russell Fraser","Four Great Tragedies: Hamlet, Othello, King Lear, Macbeth (Signet Classics)",451527291
8966,Susan Elizabeth Phillips,Ain't She Sweet?,749935081
8967,Jodi Ellen Malpas,,1455559318
8968,Neal Shusterman,Bruiser,61134104
